id,flag,telephonenumber,basepackage,productname,productid,subscriptiondate,createddate,price,promotion,category,testfield1
123,,2345891033,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
124,,2345891012,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
125,,2345891006,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
126,,2345891054,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
127,,2345891053,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
128,,2345891014,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
129,,2345891010,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
130,,2345891001,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
131,,2345891043,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
132,,2345891003,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
133,,2345891015,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
134,,2345891032,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
135,,2345891044,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
136,,2345891036,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
137,,2345891021,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
138,,2345891007,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
139,,2345891004,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
140,,2345891047,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
141,,2345891055,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
142,,2345891046,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
143,,2345891023,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
144,,2345891060,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
145,,2345891038,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
146,,2345891018,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
147,,2345891000,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
148,,2345891045,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
149,,2345891065,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
150,,2345891034,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
151,,2345891016,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
152,,2345891062,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
153,,2345891025,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
154,,2345891063,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
155,,2345891042,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
156,,2345891066,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
157,,2345891030,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
158,,2345891057,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
159,,2345891027,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
160,,2345891019,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
161,,2345891051,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
162,,2345891011,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
163,,2345891035,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
164,,2345891031,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
165,,2345891024,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
166,,2345891058,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
167,,2345891026,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
168,,2345891029,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
169,,2345891039,Base Pack,Pro1,PROD001,28102021125640,28102021125640,300,,,
